Ver1.2	2229585149	StartFile	4/8/2020	1:54:00 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\040820\Run 2\SoundData.txt	2229585149
2231332175	Triggered	5	 PureTone-5kHz	50	2	2231332175
2231336982	Triggered	1	 PureTone-5kHz	50	2	2231336982
2231340924	Triggered	4	 NoSound	50	2	2231340924
2231352220	Triggered	1	 PureTone-5kHz	50	2	2231352220
2231356232	Triggered	4	 NoSound	50	2	2231356232
2231371009	Triggered	1	 PureTone-5kHz	50	2	2231371009
2231375015	Triggered	4	 NoSound	50	2	2231375015
2231387914	Triggered	1	 PureTone-5kHz	50	2	2231387914
2231391994	Triggered	4	 NoSound	50	2	2231391994
2231402620	Triggered	1	 PureTone-5kHz	50	2	2231402620
2231408634	Triggered	5	 PureTone-5kHz	50	2	2231408634
2231412110	Triggered	8	 NoSound	50	2	2231412110
2231469263	Triggered	5	 PureTone-5kHz	50	2	2231469263
2231473604	Triggered	8	 NoSound	50	2	2231473604
2231490853	Triggered	5	 PureTone-5kHz	50	2	2231490853
2231495596	Triggered	8	 NoSound	50	2	2231495596
2231505288	Triggered	5	 PureTone-5kHz	50	2	2231505288
2231509096	Triggered	8	 NoSound	50	2	2231509096
2231522733	Triggered	5	 PureTone-5kHz	50	2	2231522733
2231528419	Triggered	1	 PureTone-5kHz	50	2	2231528419
2231532425	Triggered	4	 NoSound	50	2	2231532425
2231541981	Triggered	1	 PureTone-5kHz	50	2	2231541981
2231546261	Triggered	4	 NoSound	50	2	2231546261
2231552076	Triggered	3	 NoSound	50	2	2231552076
2231569858	Triggered	1	 PureTone-5kHz	50	2	2231569858
2231576271	Triggered	4	 NoSound	50	2	2231576271
2231594654	Triggered	2	 NoSound	50	2	2231594654
2231606222	Triggered	1	 PureTone-5kHz	50	2	2231606222
2231610292	Triggered	6	 NoSound	50	2	2231610292
2231621722	Triggered	1	 PureTone-5kHz	50	2	2231621722
2231626806	Triggered	5	 PureTone-5kHz	50	2	2231626806
2231631081	Triggered	2	 NoSound	50	2	2231631081
2231649264	Triggered	5	 PureTone-5kHz	50	2	2231649264
2231653071	Triggered	2	 NoSound	50	2	2231653071
2231666441	Triggered	5	 PureTone-5kHz	50	2	2231666441
2231670189	Triggered	2	 NoSound	50	2	2231670189
2231684761	Triggered	5	 PureTone-5kHz	50	2	2231684761
2231688631	Triggered	8	 NoSound	50	2	2231688631
2231697255	Triggered	5	 PureTone-5kHz	50	2	2231697255
2231715767	Triggered	1	 PureTone-5kHz	50	2	2231715767
2231719249	Triggered	6	 NoSound	50	2	2231719249
2231727464	Triggered	1	 PureTone-5kHz	50	2	2231727464
2231732680	Triggered	6	 NoSound	50	2	2231732680
2231741447	Triggered	1	 PureTone-5kHz	50	2	2231741447
2231747718	Triggered	4	 NoSound	50	2	2231747718
2231759083	Triggered	2	 NoSound	50	2	2231759083
