Ver1.3	1091456755	StartFile	12/22/2020	9:35:35 AM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\122220A\SoundData.txt	1091456755
1092781094	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092781094
1092781297	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1092781297
1092798542	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092798542
1092798743	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1092798743
1092802392	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1092802392
1092802595	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	1092802595
1092813945	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1092813945
1092814146	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1092814146
1092831272	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092831272
1092834460	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092834460
1092834663	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1092834663
1092850656	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092850656
1092853594	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092853594
1092853797	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1092853797
1092926579	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092926579
1092930185	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092930185
1092930387	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1092930387
1092945226	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092945226
1092945429	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1092945429
1092948302	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092948302
1092948504	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1092948504
1092962854	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092962854
1092963058	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1092963058
1092965983	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092965983
1092966186	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1092966186
1092981024	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092981024
1092981228	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1092981228
1092984034	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092984034
1092984237	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1092984237
1092998714	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092998714
1092998917	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1092998917
1093001902	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1093001902
1093002105	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1093002105
1093015380	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1093015380
1093015582	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1093015582
1093018448	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1093018448
1093018650	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1093018650
1093032527	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1093032527
1093032728	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1093032728
1093036317	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1093036317
1093036518	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	1093036518
1093051359	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1093051359
1093051560	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1093051560
1093071094	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1093071094
1093074343	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1093074343
1093074544	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1093074544
1093083908	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1093083908
1093088902	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1093088902
1093089104	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1093089104
