Ver1.3	1021071007	StartFile	12/21/2020	2:02:29 PM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\122120B\SoundData.txt	1021071007
1022262683	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1022262683
1022265722	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022265722
1022265925	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022265925
1022278416	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022278416
1022278618	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1022278618
1022281545	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022281545
1022281749	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022281749
1022295202	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022295202
1022295404	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1022295404
1022297978	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022297978
1022298181	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022298181
1022309825	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022309825
1022310027	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1022310027
1022312831	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022312831
1022313044	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022313044
1022324745	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022324745
1022324961	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1022324961
1022327813	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1022327813
1022328014	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	1022328014
1022338888	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022338888
1022339090	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1022339090
1022342794	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1022342794
1022354467	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022354467
1022354668	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1022354668
1022367765	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022367765
1022371253	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1022371253
1022371466	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1022371466
1022379134	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022379134
1022416137	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1022416137
1022416339	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1022416339
1022424680	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022424680
1022428775	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1022428775
1022428975	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1022428975
1022436352	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022436352
1022436555	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1022436555
1022439783	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022439783
1022439985	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022439985
1022456388	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022456388
1022456592	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1022456592
1022460239	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022460239
1022460441	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022460441
1022472211	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022472211
1022472414	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1022472414
1022475460	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022475460
1022475662	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022475662
1022486470	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022486470
1022486672	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1022486672
1022489719	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022489719
1022489922	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022489922
1022500668	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022500668
1022500871	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1022500871
1022503979	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022503979
1022504181	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022504181
1022515534	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022515534
1022515748	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1022515748
1022518719	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022518719
