Ver1.3	502113465	StartFile	12/15/2020	1:53:12 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\121520\SoundData.txt	502113465
503787575	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503787575
503787775	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	503787775
503810498	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503810498
503813933	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503813933
503814135	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	503814135
503827344	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503827344
503831015	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503831015
503831218	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	503831218
503842928	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503842928
503847201	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503847201
503847404	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	503847404
503860015	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503860015
503860219	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	503860219
503863385	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503863385
503863588	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	503863588
503877403	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503877403
503877606	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	503877606
503880892	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503880892
503881095	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	503881095
503892744	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503892744
503892947	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	503892947
503896295	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503896295
503896497	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	503896497
503907966	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503907966
503908169	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	503908169
503911698	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503911698
503911901	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	503911901
503939313	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503939313
503939514	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	503939514
503943405	Triggered	8,52,53,54,55,56,	 NoSound	40	2	503943405
503943606	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	503943606
503951526	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503951526
