Ver1.2	638615615	StartFile	2/22/2020	12:04:28 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\022220\SoundData.txt	638615615
640813219	Triggered	4	 NoSound	50	2	640813219
640830263	Triggered	1	 Modulated Tone	25	2	640830263
640836018	Triggered	4	 NoSound	50	2	640836018
640851253	Triggered	1	 Modulated Tone	25	2	640851253
640856737	Triggered	4	 NoSound	50	2	640856737
640871905	Triggered	1	 Modulated Tone	25	2	640871905
640878791	Triggered	4	 NoSound	50	2	640878791
640896638	Triggered	1	 Modulated Tone	25	2	640896638
640903322	Triggered	4	 NoSound	50	2	640903322
640922505	Triggered	1	 Modulated Tone	25	2	640922505
640929725	Triggered	4	 NoSound	50	2	640929725
640947436	Triggered	1	 Modulated Tone	25	2	640947436
640972703	Triggered	5	 Modulated Tone	25	2	640972703
640976645	Triggered	2	 NoSound	50	2	640976645
640992954	Triggered	5	 Modulated Tone	25	2	640992954
640996700	Triggered	8	 NoSound	50	2	640996700
641024839	Triggered	5	 Modulated Tone	25	2	641024839
641028515	Triggered	2	 NoSound	50	2	641028515
641043352	Triggered	5	 Modulated Tone	25	2	641043352
641047029	Triggered	8	 NoSound	50	2	641047029
641055183	Triggered	5	 Modulated Tone	25	2	641055183
641058925	Triggered	2	 NoSound	50	2	641058925
641075169	Triggered	5	 Modulated Tone	25	2	641075169
641078845	Triggered	8	 NoSound	50	2	641078845
641087400	Triggered	5	 Modulated Tone	25	2	641087400
641090877	Triggered	2	 NoSound	50	2	641090877
641105114	Triggered	5	 Modulated Tone	25	2	641105114
641108321	Triggered	2	 NoSound	50	2	641108321
641133119	Triggered	1	 Modulated Tone	25	2	641133119
641162676	Triggered	6	 NoSound	50	2	641162676
641170684	Triggered	5	 Modulated Tone	25	2	641170684
641174561	Triggered	8	 NoSound	50	2	641174561
641180711	Triggered	5	 Modulated Tone	25	2	641180711
641183989	Triggered	2	 NoSound	50	2	641183989
641208721	Triggered	1	 Modulated Tone	25	2	641208721
641217940	Triggered	5	 Modulated Tone	25	2	641217940
641221283	Triggered	2	 NoSound	50	2	641221283
641236456	Triggered	5	 Modulated Tone	25	2	641236456
641239802	Triggered	2	 NoSound	50	2	641239802
641253636	Triggered	5	 Modulated Tone	25	2	641253636
641260252	Triggered	1	 Modulated Tone	25	2	641260252
641263792	Triggered	6	 NoSound	50	2	641263792
641278164	Triggered	1	 Modulated Tone	25	2	641278164
641282776	Triggered	4	 NoSound	50	2	641282776
641289527	Triggered	1	 Modulated Tone	25	2	641289527
641293671	Triggered	6	 NoSound	50	2	641293671
641307248	Triggered	1	 Modulated Tone	25	2	641307248
641310917	Triggered	4	 NoSound	50	2	641310917
641318208	Triggered	1	 Modulated Tone	25	2	641318208
641323419	Triggered	6	 NoSound	50	2	641323419
641339659	Triggered	1	 Modulated Tone	25	2	641339659
641344336	Triggered	4	 NoSound	50	2	641344336
641350352	Triggered	1	 Modulated Tone	25	2	641350352
641355566	Triggered	6	 NoSound	50	2	641355566
641369941	Triggered	1	 Modulated Tone	25	2	641369941
641373948	Triggered	6	 NoSound	50	2	641373948
641388519	Triggered	1	 Modulated Tone	25	2	641388519
641392195	Triggered	6	 NoSound	50	2	641392195
641407235	Triggered	1	 Modulated Tone	25	2	641407235
641411446	Triggered	6	 NoSound	50	2	641411446
641430230	Triggered	1	 Modulated Tone	25	2	641430230
641434571	Triggered	6	 NoSound	50	2	641434571
641452887	Triggered	1	 Modulated Tone	25	2	641452887
641456834	Triggered	6	 NoSound	50	2	641456834
641471667	Triggered	1	 Modulated Tone	25	2	641471667
641493057	Triggered	5	 Modulated Tone	25	2	641493057
641496667	Triggered	8	 NoSound	50	2	641496667
641510437	Triggered	5	 Modulated Tone	25	2	641510437
641514179	Triggered	8	 NoSound	50	2	641514179
641533969	Triggered	4	 NoSound	50	2	641533969
641563509	Triggered	2	 NoSound	50	2	641563509
641578620	Triggered	5	 Modulated Tone	25	2	641578620
641582430	Triggered	2	 NoSound	50	2	641582430
641599068	Triggered	5	 Modulated Tone	25	2	641599068
641605083	Triggered	2	 NoSound	50	2	641605083
641634427	Triggered	5	 Modulated Tone	25	2	641634427
641638971	Triggered	2	 NoSound	50	2	641638971
641655749	Triggered	5	 Modulated Tone	25	2	641655749
641659625	Triggered	8	 NoSound	50	2	641659625
641686162	Triggered	6	 NoSound	50	2	641686162
641706354	Triggered	5	 Modulated Tone	25	2	641706354
641711895	Triggered	8	 NoSound	50	2	641711895
641730475	Triggered	1	 Modulated Tone	25	2	641730475
641848718	Triggered	5	 Modulated Tone	25	2	641848718
641853063	Triggered	8	 NoSound	50	2	641853063
641868771	Triggered	1	 Modulated Tone	25	2	641868771
642159530	Triggered	5	 Modulated Tone	25	2	642159530
642163542	Triggered	8	 NoSound	50	2	642163542
642175972	Triggered	5	 Modulated Tone	25	2	642175972
642181525	Triggered	8	 NoSound	50	2	642181525
642198362	Triggered	5	 Modulated Tone	25	2	642198362
642202247	Triggered	8	 NoSound	50	2	642202247
642214871	Triggered	5	 Modulated Tone	25	2	642214871
642218147	Triggered	8	 NoSound	50	2	642218147
642236528	Triggered	5	 Modulated Tone	25	2	642236528
642242945	Triggered	8	 NoSound	50	2	642242945
642248160	Triggered	1	 Modulated Tone	25	2	642248160
642252442	Triggered	4	 NoSound	50	2	642252442
642262264	Triggered	1	 Modulated Tone	25	2	642262264
642267480	Triggered	4	 NoSound	50	2	642267480
642274694	Triggered	1	 Modulated Tone	25	2	642274694
642278037	Triggered	6	 NoSound	50	2	642278037
642292741	Triggered	1	 Modulated Tone	25	2	642292741
642297822	Triggered	4	 NoSound	50	2	642297822
642304572	Triggered	1	 Modulated Tone	25	2	642304572
642308182	Triggered	6	 NoSound	50	2	642308182
642320146	Triggered	1	 Modulated Tone	25	2	642320146
642323756	Triggered	6	 NoSound	50	2	642323756
642338661	Triggered	1	 Modulated Tone	25	2	642338661
642342338	Triggered	6	 NoSound	50	2	642342338
642360188	Triggered	1	 Modulated Tone	25	2	642360188
642364128	Triggered	6	 NoSound	50	2	642364128
642380838	Triggered	1	 Modulated Tone	25	2	642380838
642384715	Triggered	6	 NoSound	50	2	642384715
642400823	Triggered	1	 Modulated Tone	25	2	642400823
642404371	Triggered	6	 NoSound	50	2	642404371
642420207	Triggered	1	 Modulated Tone	25	2	642420207
642423952	Triggered	6	 NoSound	50	2	642423952
642439458	Triggered	1	 Modulated Tone	25	2	642439458
642443000	Triggered	6	 NoSound	50	2	642443000
642458441	Triggered	1	 Modulated Tone	25	2	642458441
642487658	Triggered	5	 Modulated Tone	25	2	642487658
642490928	Triggered	2	 NoSound	50	2	642490928
642503029	Triggered	5	 Modulated Tone	25	2	642503029
642506966	Triggered	8	 NoSound	50	2	642506966
642515259	Triggered	5	 Modulated Tone	25	2	642515259
642521274	Triggered	8	 NoSound	50	2	642521274
642543128	Triggered	6	 NoSound	50	2	642543128
642549281	Triggered	5	 Modulated Tone	25	2	642549281
642552486	Triggered	2	 NoSound	50	2	642552486
642566255	Triggered	5	 Modulated Tone	25	2	642566255
642569864	Triggered	2	 NoSound	50	2	642569864
642584706	Triggered	5	 Modulated Tone	25	2	642584706
642591454	Triggered	8	 NoSound	50	2	642591454
642612108	Triggered	5	 Modulated Tone	25	2	642612108
642616585	Triggered	2	 NoSound	50	2	642616585
642631424	Triggered	5	 Modulated Tone	25	2	642631424
642635702	Triggered	2	 NoSound	50	2	642635702
642652545	Triggered	5	 Modulated Tone	25	2	642652545
642658094	Triggered	2	 NoSound	50	2	642658094
642690312	Triggered	5	 Modulated Tone	25	2	642690312
642699335	Triggered	8	 NoSound	50	2	642699335
642709695	Triggered	1	 Modulated Tone	25	2	642709695
