Ver1.3	506188844	StartFile	12/30/2020	10:13:04 AM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\123020\SoundData.txt	506188844
507906268	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507906268
507906484	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	507906484
507918361	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507918361
507918563	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	507918563
507921798	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507921798
507922000	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	507922000
507936050	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507936050
507936253	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	507936253
507939239	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507939239
507939442	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	507939442
507951995	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507951995
507952196	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	507952196
507955424	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507955424
507961560	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507961560
507961762	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	507961762
507977745	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507977745
507980813	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507980813
507981015	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	507981015
507993027	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507993027
507996156	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507996156
507996356	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	507996356
508001931	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	508001931
508006384	Triggered	8,52,53,54,55,56,	 NoSound	40	2	508006384
508006587	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	508006587
508034421	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	508034421
508034625	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	508034625
508037670	Triggered	8,52,53,54,55,56,	 NoSound	40	2	508037670
508037871	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	508037871
508044409	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	508044409
508044612	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	508044612
508049102	Triggered	2,37,38,39,40,41,	 NoSound	40	2	508049102
508049304	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	508049304
508057946	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	508057946
508058150	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	508058150
508061616	Triggered	8,52,53,54,55,56,	 NoSound	40	2	508061616
508061818	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	508061818
508069920	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	508069920
508070134	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	508070134
508074611	Triggered	8,52,53,54,55,56,	 NoSound	40	2	508074611
508081530	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	508081530
508081733	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	508081733
508085383	Triggered	8,52,53,54,55,56,	 NoSound	40	2	508085383
508085583	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	508085583
508093383	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	508093383
508093585	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	508093585
508098199	Triggered	8,52,53,54,55,56,	 NoSound	40	2	508098199
508109328	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	508109328
