Ver1.2	2490595078	StartFile	4/11/2020	2:24:10 PM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\041120A\SoundData.txt	2490595078
2493512896	Triggered	5	 PureTone-5kHz	50	2	2493512896
2493640560	Triggered	1	 PureTone-5kHz	50	2	2493640560
2493644567	Triggered	4	 NoSound	50	2	2493644567
2493661879	Triggered	1	 PureTone-5kHz	50	2	2493661879
2493665822	Triggered	4	 NoSound	50	2	2493665822
2493681197	Triggered	1	 PureTone-5kHz	50	2	2493681197
2493684805	Triggered	4	 NoSound	50	2	2493684805
2493700311	Triggered	1	 PureTone-5kHz	50	2	2493700311
2493703860	Triggered	4	 NoSound	50	2	2493703860
2493722506	Triggered	1	 PureTone-5kHz	50	2	2493722506
2493732598	Triggered	5	 PureTone-5kHz	50	2	2493732598
2493736406	Triggered	8	 NoSound	50	2	2493736406
2493756459	Triggered	5	 PureTone-5kHz	50	2	2493756459
2493760068	Triggered	8	 NoSound	50	2	2493760068
2493770829	Triggered	5	 PureTone-5kHz	50	2	2493770829
2493775180	Triggered	8	 NoSound	50	2	2493775180
2493787077	Triggered	5	 PureTone-5kHz	50	2	2493787077
2493792954	Triggered	2	 NoSound	50	2	2493792954
2493813210	Triggered	5	 PureTone-5kHz	50	2	2493813210
2493869152	Triggered	1	 PureTone-5kHz	50	2	2493869152
2493872834	Triggered	6	 NoSound	50	2	2493872834
2493885598	Triggered	1	 PureTone-5kHz	50	2	2493885598
2493889676	Triggered	6	 NoSound	50	2	2493889676
2493903507	Triggered	1	 PureTone-5kHz	50	2	2493903507
2493907920	Triggered	6	 NoSound	50	2	2493907920
2493920151	Triggered	1	 PureTone-5kHz	50	2	2493920151
2493970622	Triggered	6	 NoSound	50	2	2493970622
2493979645	Triggered	1	 PureTone-5kHz	50	2	2493979645
2494047752	Triggered	2	 NoSound	50	2	2494047752
2494055371	Triggered	4	 NoSound	50	2	2494055371
2494061927	Triggered	5	 PureTone-5kHz	50	2	2494061927
2494065804	Triggered	2	 NoSound	50	2	2494065804
2494080972	Triggered	1	 PureTone-5kHz	50	2	2494080972
2494087389	Triggered	5	 PureTone-5kHz	50	2	2494087389
