Ver1.3	763810486	StartFile	12/18/2020	2:34:49 PM	E:\BehavioralExperiments\Twenty\Horizon\RawData\121820\SoundData.txt	763810486
765760889	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765760889
765764029	Triggered	4,42,43,44,45,46,	 NoSound	40	2	765764029
765764230	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	765764230
765777197	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765777197
765861016	Triggered	4,42,43,44,45,46,	 NoSound	40	2	765861016
765861218	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	765861218
765887818	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765887818
765901922	Triggered	4,42,43,44,45,46,	 NoSound	40	2	765901922
765902124	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	765902124
765915892	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765915892
765916095	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	765916095
765920438	Triggered	6,47,48,49,50,51,	 NoSound	40	2	765920438
765920640	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	765920640
765946911	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765946911
765947114	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	765947114
765950384	Triggered	6,47,48,49,50,51,	 NoSound	40	2	765950384
765950585	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	765950585
765971577	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765971577
765971780	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	765971780
765974847	Triggered	6,47,48,49,50,51,	 NoSound	40	2	765974847
765975050	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	765975051
766000385	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	766000385
766000587	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	766000587
766003789	Triggered	6,47,48,49,50,51,	 NoSound	40	2	766003789
766003991	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	766003991
766027851	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	766027851
766028054	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	766028054
766031193	Triggered	6,47,48,49,50,51,	 NoSound	40	2	766031193
766031396	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	766031396
766055389	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	766055389
766055591	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	766055591
766058731	Triggered	6,47,48,49,50,51,	 NoSound	40	2	766058731
766058934	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	766058934
766079519	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	766079519
766079719	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	766079719
766118693	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	766118693
766122430	Triggered	2,37,38,39,40,41,	 NoSound	40	2	766122430
