Ver1.2	457775165	StartFile	2/20/2020	9:50:27 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\022020\SoundData.txt	457775165
462527332	Triggered	1	 Modulated Tone	25	2	462527332
462532751	Triggered	6	 NoSound	50	2	462532751
462538769	Triggered	1	 Modulated Tone	25	2	462538769
462542504	Triggered	4	 NoSound	50	2	462542504
462573785	Triggered	1	 Modulated Tone	25	2	462573785
462579134	Triggered	6	 NoSound	50	2	462579134
462585885	Triggered	1	 Modulated Tone	25	2	462585885
462590234	Triggered	4	 NoSound	50	2	462590234
462603534	Triggered	1	 Modulated Tone	25	2	462603534
462610415	Triggered	4	 NoSound	50	2	462610415
462624051	Triggered	1	 Modulated Tone	25	2	462624051
462635084	Triggered	6	 NoSound	50	2	462635084
462644905	Triggered	1	 Modulated Tone	25	2	462644905
462653195	Triggered	4	 NoSound	50	2	462653195
462673853	Triggered	1	 Modulated Tone	25	2	462673853
462704527	Triggered	4	 NoSound	50	2	462704527
462722173	Triggered	1	 Modulated Tone	25	2	462722173
462754992	Triggered	4	 NoSound	50	2	462754992
462771774	Triggered	1	 Modulated Tone	25	2	462771774
462791423	Triggered	4	 NoSound	50	2	462791423
462806860	Triggered	5	 Modulated Tone	25	2	462806860
462825310	Triggered	1	 Modulated Tone	25	2	462825310
462834072	Triggered	4	 NoSound	50	2	462834072
462854384	Triggered	1	 Modulated Tone	25	2	462854384
462919086	Triggered	5	 Modulated Tone	25	2	462919086
462923096	Triggered	2	 NoSound	50	2	462923096
462931520	Triggered	5	 Modulated Tone	25	2	462931520
462935864	Triggered	2	 NoSound	50	2	462935864
462941615	Triggered	5	 Modulated Tone	25	2	462941615
462945154	Triggered	8	 NoSound	50	2	462945154
462960065	Triggered	5	 Modulated Tone	25	2	462960065
462971690	Triggered	5	 Modulated Tone	25	2	462971690
462979379	Triggered	6	 NoSound	50	2	462979379
462990137	Triggered	8	 NoSound	50	2	462990137
463016741	Triggered	5	 Modulated Tone	25	2	463016741
463023559	Triggered	6	 NoSound	50	2	463023559
463034326	Triggered	8	 NoSound	50	2	463034326
463072888	Triggered	5	 Modulated Tone	25	2	463072888
463098692	Triggered	1	 Modulated Tone	25	2	463098692
463118407	Triggered	2	 NoSound	50	2	463118407
463129840	Triggered	3	 NoSound	50	2	463129840
463135316	Triggered	4	 NoSound	50	2	463135316
463159313	Triggered	5	 Modulated Tone	25	2	463159313
463163189	Triggered	8	 NoSound	50	2	463163189
463178629	Triggered	5	 Modulated Tone	25	2	463178629
463183108	Triggered	8	 NoSound	50	2	463183108
463205298	Triggered	5	 Modulated Tone	25	2	463205298
463219469	Triggered	8	 NoSound	50	2	463219469
463235048	Triggered	5	 Modulated Tone	25	2	463235048
463245137	Triggered	8	 NoSound	50	2	463245137
463262982	Triggered	5	 Modulated Tone	25	2	463262982
463282967	Triggered	8	 NoSound	50	2	463282967
463298274	Triggered	5	 Modulated Tone	25	2	463298274
463309570	Triggered	8	 NoSound	50	2	463309570
463325082	Triggered	5	 Modulated Tone	25	2	463325082
463331362	Triggered	8	 NoSound	50	2	463331362
463347269	Triggered	5	 Modulated Tone	25	2	463347269
463358703	Triggered	8	 NoSound	50	2	463358703
463379152	Triggered	5	 Modulated Tone	25	2	463379152
463416918	Triggered	8	 NoSound	50	2	463416918
463422398	Triggered	1	 Modulated Tone	25	2	463422398
463427614	Triggered	6	 NoSound	50	2	463427614
463464574	Triggered	1	 Modulated Tone	25	2	463464574
463469186	Triggered	4	 NoSound	50	2	463469186
463478013	Triggered	5	 Modulated Tone	25	2	463478013
463487769	Triggered	1	 Modulated Tone	25	2	463487769
463493986	Triggered	4	 NoSound	50	2	463493986
463500468	Triggered	5	 Modulated Tone	25	2	463500468
463595716	Triggered	1	 Modulated Tone	25	2	463595716
463624929	Triggered	6	 NoSound	50	2	463624929
463652465	Triggered	1	 Modulated Tone	25	2	463652465
