Ver1.3	226725420	StartFile	2/12/2021	9:33:03 AM	E:\BehavioralExperiments\Gerald\Horizon\RawData\021221\SoundData.txt	226725420
227591283	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227591283
227595232	Triggered	4,42,43,44,45,46,	 NoSound	40	2	227595232
227595434	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	227595434
227606426	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227606426
227606629	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227606629
227609912	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227609912
227610113	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	227610113
227616770	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227616770
227616975	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227616975
227619966	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227619966
227620167	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	227620167
227637709	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227637709
227637922	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227637922
227641680	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227641680
227641880	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	227641880
227649623	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227649623
227649827	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227649827
227653472	Triggered	4,42,43,44,45,46,	 NoSound	40	2	227653472
227653686	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	227653686
227664489	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227664489
227664692	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	227664692
227667671	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227667671
227667872	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	227667872
227698236	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227698236
227698439	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	227698439
227701966	Triggered	4,42,43,44,45,46,	 NoSound	40	2	227701966
227702169	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	227702169
227713762	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227713762
227713966	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	227713966
227716706	Triggered	4,42,43,44,45,46,	 NoSound	40	2	227716706
227716920	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	227716920
227727778	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227727778
227727979	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	227727979
227731146	Triggered	4,42,43,44,45,46,	 NoSound	40	2	227731146
227731348	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	227731348
227741856	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227741856
227742058	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	227742058
227744984	Triggered	4,42,43,44,45,46,	 NoSound	40	2	227744984
227745187	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	227745187
227756296	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227756296
227756497	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	227756497
227760086	Triggered	4,42,43,44,45,46,	 NoSound	40	2	227760086
227760288	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	227760288
227771096	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227771096
