Ver1.3	111972973	StartFile	7/26/2020	7:10:31 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\072620B\SoundData.txt	111972973
113067694	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113067694
113070752	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113070752
113070953	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113070953
113082048	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113082048
113082253	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113082253
113084857	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113084857
113085059	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113085059
113098639	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113098639
113098844	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113098844
113101432	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113101432
113101635	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113101635
113115204	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113115204
113115408	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113115408
113117875	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113117875
113118078	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113118078
113131376	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113131376
113131580	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113131580
113134385	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113134385
113134587	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113134587
113147485	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113147485
113147704	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113147704
113150493	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113150493
113150695	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113150695
113165131	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113165131
113165347	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113165347
113168340	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113168340
113168542	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113168542
113180104	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113180104
113180307	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113180307
113183045	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113183045
113183248	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113183248
113193404	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113193404
113193609	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113193609
113196617	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113196617
113196819	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113196819
113208178	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113208178
113208381	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	113208381
113211518	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113211518
113211720	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113211720
113223751	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113223751
113223955	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	113223955
113226894	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113226894
113227097	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113227097
113237654	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113237654
113237858	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	113237858
113241063	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113241063
113241265	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113241265
113253227	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113253227
113253429	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	113253429
113256437	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113256437
113256639	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	113256639
113267865	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	113267865
113268068	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	113268068
113278360	Triggered	8,52,53,54,55,56,	 NoSound	40	2	113278360
