Ver1.3	157187053	StartFile	8/21/2020	2:45:55 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\082120B\SoundData.txt	157187053
158183170	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158183170
158183370	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	158183370
158247969	Triggered	8,52,53,54,55,56,	 NoSound	40	2	158247969
158268846	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158268846
158269051	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	158269051
158274742	Triggered	8,52,53,54,55,56,	 NoSound	40	2	158274742
158339059	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158339059
158339262	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	158339262
158343152	Triggered	8,52,53,54,55,56,	 NoSound	40	2	158343152
158371731	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158371731
158371936	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	158371936
158377806	Triggered	8,52,53,54,55,56,	 NoSound	40	2	158377806
158435085	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158435085
158435290	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	158435290
158439657	Triggered	8,52,53,54,55,56,	 NoSound	40	2	158439657
158504996	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158504996
158505199	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	158505199
158510231	Triggered	2,37,38,39,40,41,	 NoSound	40	2	158510231
158510432	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	158510432
158523588	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158523588
158523790	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	158523790
158527679	Triggered	2,37,38,39,40,41,	 NoSound	40	2	158527679
158527879	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	158527879
158537367	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	158537367
158537571	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	158537571
158541517	Triggered	2,37,38,39,40,41,	 NoSound	40	2	158541517
158541717	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	158541717
