Ver1.3	1003887668	StartFile	8/31/2020	9:57:36 AM	E:\BehavioralExperiments\Twenty\Horizon\RawData\083120\SoundData.txt	1003887668
1006030167	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1006030167
1006030369	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1006030369
1006045679	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1006045679
1006049150	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1006049150
1006049352	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1006049352
1006064524	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1006064524
1006068413	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1006068413
1006068615	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1006068615
1006089055	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1006089055
1006089270	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1006089270
1006092463	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1006092463
1006092664	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1006092664
1006103091	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1006103091
1006103294	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1006103294
1006106835	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1006106835
1006107037	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1006107037
1006137916	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1006137916
