Ver1.3	103758953	StartFile	7/26/2020	4:53:37 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\072620A\SoundData.txt	103758953
105359189	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105359189
105359390	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105359390
105370862	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105370862
105371064	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105371064
105373990	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105373990
105374191	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105374191
105383858	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105383858
105384074	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105384074
105387227	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105387227
105387427	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105387427
105397755	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105397755
105397958	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105397958
105401064	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105401064
105401265	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105401265
105410931	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105410931
105411133	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105411133
105414481	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105414481
105414681	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105414681
105426874	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105426874
105427076	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105427076
105431930	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105431930
105432131	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105432131
105443902	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105443902
105444105	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105444105
105447151	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105447151
105447352	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105447352
105459366	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105459366
105459569	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105459569
105462975	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105462975
105463176	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105463176
105473270	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105473270
105473473	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	105473473
105476574	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105476574
105476776	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105476776
105488787	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105488787
105488989	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	105488989
105492157	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105492157
105492357	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105492357
105504308	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105504308
105504511	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	105504511
105507617	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105507617
105507818	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105507818
105519109	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105519109
105519311	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	105519311
105522239	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105522239
105522439	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105522439
105532045	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105532045
105532247	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	105532247
105535534	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105535534
105535736	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105535736
105545230	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105545230
105545431	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	105545431
105548531	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105548531
105548733	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105548733
105558157	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105558157
105558358	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	105558358
105561467	Triggered	8,52,53,54,55,56,	 NoSound	40	2	105561467
105561668	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	105561668
105571575	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	105571575
