Ver1.3	430142375	StartFile	7/30/2020	11:33:21 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\073020A\SoundData.txt	430142375
431095986	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	431095986
431098259	Triggered	4,42,43,44,45,46,	 NoSound	40	2	431098259
431098460	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	431098460
431106347	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431106347
431106548	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	431106548
431109354	Triggered	4,42,43,44,45,46,	 NoSound	40	2	431109354
431109557	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	431109557
431116840	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	431116840
431117052	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	431117052
431129078	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431129078
431132481	Triggered	2,37,38,39,40,41,	 NoSound	40	2	431132481
431132683	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	431132683
431140660	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431140660
431140863	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431140863
431143713	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431143713
431143915	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431143915
431154807	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431154807
431155024	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431155024
431157414	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431157414
431158133	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431158133
431169444	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431169444
431169648	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431169648
431171917	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431171917
431172121	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431172121
431182814	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431182814
431183017	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431183017
431185354	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431185354
431185556	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431185556
431196793	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431196793
431196997	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431196997
431199255	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431199255
431199458	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431199458
431210018	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431210018
431210222	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431210222
431212689	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431212689
431212892	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431212892
431226280	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431226280
431226483	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431226483
431228933	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431228933
431229135	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431229135
431241150	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431241150
431241353	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431241353
431243571	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431243571
431243773	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431243773
431255001	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431255001
431255616	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431255616
431258812	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431258812
431259497	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431259497
431269106	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431269106
431269308	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431269308
431272581	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431272581
431272783	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431272783
431283608	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431283608
431283811	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431283811
431286349	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431286349
431286551	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431286551
431297381	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431297381
431297584	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431297584
431300254	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431300254
431300844	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431300844
431310880	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431310880
431311083	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431311083
431313754	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431313754
431313956	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431313956
431326120	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431326120
431326322	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	431326322
431328928	Triggered	8,52,53,54,55,56,	 NoSound	40	2	431328928
431329129	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	431329129
431340023	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	431340023
